model,epochs,batch_size,latent_dims,learning_rates,fc_layers_sizes,loss,accuracy,loss_history,hr_score
baseline,5.0,32.0,16.0,0.01,"[512, 256, 128]",8.604239463806152,0.0,"[12.098625183105469, 10.954923629760742, 9.952935218811035, 9.188444137573242, 8.604239463806152]",0.0793650793650793
baseline,5.0,64.0,16.0,0.01,"[512, 256, 128]",8.334090232849121,0.013157894834876,"[11.915270805358887, 10.657708168029785, 9.713175773620605, 8.895846366882324, 8.334090232849121]",0.0105820105820105
improved,5.0,32.0,16.0,0.01,"[512, 256, 128]",8.676311492919922,0.013157894834876,"[12.3173246383667, 11.029125213623047, 9.972397804260254, 9.27795124053955, 8.676311492919922]",0.0317460317460317
improved,5.0,64.0,16.0,0.01,"[512, 256, 128]",8.474708557128906,0.0,"[12.255692481994629, 11.082623481750488, 9.927482604980469, 9.081153869628906, 8.474708557128906]",0.0529100529100529
MF,50.0,,16.0,0.01,,0.7604132108533884,,"[5.165001642785781, 1.1710843865794207, 1.0670828206419412, 1.0180709562048091, 0.9865868548761215, 0.9630934218316307, 0.9442165341981451, 0.9285278620153967, 0.9152700206652726, 0.9039483561116146, 0.8941619917593399, 0.8855764899469164, 0.8779263723624199, 0.8710086437033954, 0.8646715722539747, 0.8588033277053925, 0.8533221132747592, 0.8481681560158912, 0.8432974480257025, 0.838677004758232, 0.834281395770084, 0.8300903108524347, 0.826086932701274, 0.8222569029142616, 0.8185876958005758, 0.8150682513822676, 0.8116887584111436, 0.808440514131975, 0.8053158163807044, 0.8023078644963754, 0.7994106592309956, 0.7966188999019125, 0.7939278810885307, 0.7913333926412873, 0.7888316267201233, 0.7864190947623757, 0.7840925561824929, 0.7818489595193733, 0.7796853958265232, 0.7775990634105587, 0.7755872425732802, 0.7736472787772497, 0.7717765725939901, 0.7699725748619367, 0.768232785634473, 0.766554755699185, 0.764936089668136, 0.7633744498539541, 0.7618675603436499, 0.7604132108533884]",0.01936373276776246
MF,50.0,,16.0,0.1,,0.7644373540270804,,"[5.277637499058402, 1.0422257355810438, 0.9090242821205042, 0.8696319285298919, 0.8449873098536157, 0.8280951508105886, 0.81579370332875, 0.8065541427181854, 0.7994800321817703, 0.7939657327390633, 0.7895880868624129, 0.7860541633188586, 0.7831620309440604, 0.7807702003029848, 0.7787761246760005, 0.7771024962376069, 0.7756891021606229, 0.7744880632533171, 0.7734608960615603, 0.7725765113689972, 0.7718097217908768, 0.771140070305056, 0.770550894962043, 0.7700285839220432, 0.7695619878405447, 0.7691419606063141, 0.7687610014171622, 0.7684129736198451, 0.768092879246756, 0.7677966725713257, 0.7675211007541796, 0.7672635641402359, 0.7670219924431106, 0.766794735571295, 0.7665804691439198, 0.7663781150182585, 0.7661867767806827, 0.7660056895223459, 0.7658341826030218, 0.7656716536337317, 0.7655175516193458, 0.7653713670975206, 0.7652326271810267, 0.7651008936357797, 0.7649757624668958, 0.7648568638840324, 0.7647438619159301, 0.7646364532938902, 0.7645343654957433, 0.7644373540270804]",0.016733828207847298
MF,50.0,,32.0,0.01,,0.708749236873762,,"[9.199254397387215, 1.1802266557177612, 1.043064168866742, 0.9807334806651898, 0.9431605498731935, 0.9171639200522723, 0.8978424737773071, 0.8828077069984602, 0.8706409878254611, 0.8604280901834063, 0.851565074158932, 0.8436505277675712, 0.8364180779144628, 0.8296921609787039, 0.8233583108631505, 0.8173428452408132, 0.8115988532841197, 0.8060965518387859, 0.8008167359622982, 0.7957464346350678, 0.7908761258459244, 0.7861980337712676, 0.7817051552505283, 0.7773907578355039, 0.7732481654106411, 0.7692707047204694, 0.7654517301642801, 0.7617846768941685, 0.7582631152019603, 0.7548807941193647, 0.7516316709463797, 0.7485099278930971, 0.7455099787509752, 0.7426264687126989, 0.7398542699596969, 0.737188474929185, 0.7346243885130606, 0.7321575199291362, 0.7297835746545898, 0.7274984465961214, 0.7252982105535177, 0.723179114978101, 0.721137575007932, 0.7191701657594781, 0.7172736158598368, 0.7154448012088761, 0.713680738964445, 0.7119785817456277, 0.7103356120492125, 0.708749236873762]",0.020307529162248143
MF,50.0,,32.0,0.1,,0.0,,"[9.114623650203523, 1.0174563368282465, 0.01819486876773985, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.03214209968186638
MF,50.0,,64.0,0.01,,0.6666128063007996,,"[17.1847884773039, 1.1877908427795765, 0.9987761353155172, 0.920511509831691, 0.8771964777091682, 0.8494524001516471, 0.8300240375688712, 0.8154710304390591, 0.8039366482291189, 0.7943520714662866, 0.7860774215795112, 0.778719368402697, 0.772032168647837, 0.7658609093094364, 0.7601071053374865, 0.7547070458307047, 0.7496180109298882, 0.7448096034155794, 0.7402584704811794, 0.7359452525196347, 0.7318529420284966, 0.7279660811724588, 0.7242704154201022, 0.7207527650328779, 0.7174009796513855, 0.7142039090369116, 0.7111513631273472, 0.7082340555393623, 0.7054435338386866, 0.7027721026397147, 0.7002127452853754, 0.697759048429158, 0.6954051322595565, 0.6931455877760788, 0.6909754215549245, 0.6888900078079639, 0.6868850471704514, 0.6849565314751045, 0.6831007137180245, 0.6813140824461598, 0.679593339861887, 0.6779353830247965, 0.6763372876195909, 0.674796293843847, 0.6733097940460315, 0.6718753218108667, 0.6704905422457491, 0.669153243269068, 0.6678613277399953, 0.6666128063007996]",0.020975609756097562
MF,50.0,,64.0,0.1,,0.0,,"[17.250211198268648, 0.0058069676347919505, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]",0.03214209968186638
