model,epochs,batch_size,latent_dims,learning_rates,fc_layers_sizes,loss,accuracy,loss_history,hr_score
baseline,100.0,32.0,16.0,0.01,"[512, 256, 128]",7.695408821105957,0.0,"[11.85107135772705, 10.634590148925781, 9.6775484085083, 8.95998477935791, 8.455878257751465, 8.089852333068848, 7.859216213226318, 7.782309055328369, 7.70330810546875, 7.693406581878662, 7.8173956871032715, 7.705277442932129, 7.695408821105957]",0.037037037037037035
baseline,100.0,32.0,16.0,0.01,"[256, 128, 64]",7.427027702331543,0.01315789483487606,"[10.178973197937012, 9.654427528381348, 9.217854499816895, 8.81258773803711, 8.435474395751953, 8.15785026550293, 7.966477394104004, 7.81168794631958, 7.695921897888184, 7.590425968170166, 7.4953742027282715, 7.433396339416504, 7.400510311126709, 7.4041924476623535, 7.4852986335754395, 7.427027702331543]",0.021164021164021163
baseline,100.0,32.0,16.0,0.01,"[128, 64, 32]",7.240024089813232,0.01315789483487606,"[9.125755310058594, 8.862466812133789, 8.618985176086426, 8.399242401123047, 8.2018461227417, 8.026658058166504, 7.8777337074279785, 7.7592902183532715, 7.6838250160217285, 7.620080471038818, 7.529458522796631, 7.450972557067871, 7.371700763702393, 7.317773342132568, 7.2788801193237305, 7.252739429473877, 7.228640079498291, 7.2068963050842285, 7.21272611618042, 7.2222089767456055, 7.240024089813232]",0.015873015873015872
baseline,100.0,32.0,16.0,0.1,"[512, 256, 128]",42.819557189941406,0.01315789483487606,"[110.78636169433594, 71.08931732177734, 49.00001907348633, 27.252107620239258, 33.64194107055664, 46.563507080078125, 42.819557189941406]",0.047619047619047616
baseline,100.0,32.0,16.0,0.1,"[256, 128, 64]",13.83846378326416,0.01315789483487606,"[43.00030517578125, 12.278180122375488, 13.22423267364502, 16.804309844970703, 13.83846378326416]",0.06349206349206349
baseline,100.0,32.0,16.0,0.1,"[128, 64, 32]",8.762378692626953,0.0,"[9.081889152526855, 8.06095027923584, 8.421714782714844, 10.586138725280762, 8.762378692626953]",0.05291005291005291
baseline,100.0,32.0,32.0,0.01,"[512, 256, 128]",7.833680629730225,0.01315789483487606,"[12.5047025680542, 11.206412315368652, 10.595398902893066, 9.349230766296387, 8.584689140319824, 8.17017936706543, 7.927356719970703, 7.760833740234375, 7.6938958168029785, 7.775078296661377, 7.774806022644043, 7.673943996429443, 7.681687831878662, 7.690309047698975, 7.833680629730225]",0.021164021164021163
baseline,100.0,32.0,32.0,0.01,"[256, 128, 64]",7.427194118499756,0.0,"[10.60612964630127, 9.930526733398438, 9.337984085083008, 8.840641021728516, 8.444491386413574, 8.136094093322754, 7.897939682006836, 7.716109275817871, 7.5899834632873535, 7.484310626983643, 7.432260036468506, 7.3667216300964355, 7.330735206604004, 7.316596508026123, 7.33847188949585, 7.357194423675537, 7.427194118499756]",0.021164021164021163
baseline,100.0,32.0,32.0,0.01,"[128, 64, 32]",7.702029705047607,0.0,"[9.41041088104248, 9.07196044921875, 8.771727561950684, 8.505928993225098, 8.275032043457031, 8.075957298278809, 7.89089822769165, 7.731276512145996, 7.609922885894775, 7.515303611755371, 7.43606424331665, 7.368505954742432, 7.319357395172119, 7.281428337097168, 7.252200603485107, 7.235584259033203, 7.219637393951416, 7.252152919769287, 7.239751815795898, 7.2089152336120605, 7.215088844299316, 7.361392498016357, 7.702029705047607]",0.031746031746031744
baseline,100.0,32.0,32.0,0.1,"[512, 256, 128]",69.11772155761719,0.01315789483487606,"[256.6639709472656, 44.1634407043457, 85.142578125, 35.189292907714844, 43.99655532836914, 50.7088737487793, 69.11772155761719]",0.037037037037037035
baseline,100.0,32.0,32.0,0.1,"[256, 128, 64]",14.986112594604492,0.0,"[26.358867645263672, 11.181922912597656, 20.490209579467773, 18.800643920898438, 14.986112594604492]",0.042328042328042326
baseline,100.0,32.0,32.0,0.1,"[128, 64, 32]",9.441686630249023,0.01315789483487606,"[8.051560401916504, 17.53447914123535, 8.537378311157227, 9.441686630249023]",0.042328042328042326
baseline,100.0,32.0,64.0,0.01,"[512, 256, 128]",7.851057529449463,0.0,"[13.2360258102417, 11.526166915893555, 10.184842109680176, 9.221930503845215, 8.551009178161621, 8.11730670928955, 7.863525390625, 7.7403411865234375, 7.727476596832275, 7.835139274597168, 7.763731956481934, 7.851057529449463]",0.037037037037037035
baseline,100.0,32.0,64.0,0.01,"[256, 128, 64]",7.431725025177002,0.01315789483487606,"[11.165051460266113, 10.304549217224121, 9.581745147705078, 8.990337371826172, 8.515787124633789, 8.141744613647461, 7.890905380249023, 7.9832072257995605, 7.680488109588623, 7.489194393157959, 7.435092449188232, 7.423036098480225, 7.424465656280518, 7.411746501922607, 7.4099931716918945, 7.4720048904418945, 7.486875057220459, 7.431725025177002]",0.037037037037037035
baseline,100.0,32.0,64.0,0.01,"[128, 64, 32]",8.473111152648926,0.0,"[9.690640449523926, 9.24979305267334, 8.862295150756836, 8.524582862854004, 8.231945991516113, 7.996764183044434, 7.829016208648682, 7.676633358001709, 7.544770240783691, 7.445770263671875, 7.3814873695373535, 7.335719108581543, 7.301239013671875, 7.2827630043029785, 7.274179458618164, 7.2757673263549805, 7.259995460510254, 7.231389999389648, 7.2268500328063965, 7.215329647064209, 7.191076755523682, 7.173032283782959, 7.24807596206665, 7.69418478012085, 8.473111152648926]",0.031746031746031744
baseline,100.0,32.0,64.0,0.1,"[512, 256, 128]",76.13166809082031,0.0,"[139.3295440673828, 72.27435302734375, 51.09379577636719, 125.75508880615234, 49.865447998046875, 65.06795501708984, 67.76144409179688, 76.13166809082031]",0.010582010582010581
baseline,100.0,32.0,64.0,0.1,"[256, 128, 64]",38.62031173706055,0.0,"[39.1002197265625, 15.824573516845703, 48.5000114440918, 17.73575210571289, 38.62031173706055]",0.042328042328042326
baseline,100.0,32.0,64.0,0.1,"[128, 64, 32]",9.243598937988281,0.0,"[9.069463729858398, 8.885120391845703, 10.310440063476562, 9.391044616699219, 9.243598937988281]",0.07407407407407407
baseline,100.0,32.0,128.0,0.01,"[512, 256, 128]",8.043575286865234,0.01315789483487606,"[14.245375633239746, 12.174430847167969, 10.62475299835205, 9.428648948669434, 8.697848320007324, 8.23534870147705, 7.9790568351745605, 8.081696510314941, 7.972419261932373, 7.9562554359436035, 8.00905704498291, 8.054110527038574, 8.043575286865234]",0.037037037037037035
baseline,100.0,32.0,128.0,0.01,"[256, 128, 64]",7.575445652008057,0.0,"[11.671490669250488, 10.592082977294922, 9.715840339660645, 9.023442268371582, 8.501609802246094, 8.103374481201172, 7.8220367431640625, 7.655135154724121, 7.5572733879089355, 7.4913177490234375, 7.497521877288818, 7.4997639656066895, 7.575445652008057]",0.05291005291005291
baseline,100.0,32.0,128.0,0.01,"[128, 64, 32]",7.455556869506836,0.01315789483487606,"[9.920742988586426, 9.354050636291504, 8.884510040283203, 8.511261940002441, 8.213299751281738, 8.006103515625, 7.828746795654297, 7.694915771484375, 7.6094651222229, 7.5485382080078125, 7.510127067565918, 7.4827880859375, 7.465307712554932, 7.444459438323975, 7.41837739944458, 7.415521621704102, 7.559935569763184, 7.640565395355225, 7.455556869506836]",0.015873015873015872
baseline,100.0,32.0,128.0,0.1,"[512, 256, 128]",119.61202239990234,0.01315789483487606,"[159.98843383789062, 236.47555541992188, 47.89817428588867, 87.33966064453125, 72.57737731933594, 119.61202239990234]",0.08465608465608465
baseline,100.0,32.0,128.0,0.1,"[256, 128, 64]",27.219257354736328,0.0,"[31.05401611328125, 19.376253128051758, 20.225845336914062, 22.27178192138672, 27.219257354736328]",0.042328042328042326
baseline,100.0,32.0,128.0,0.1,"[128, 64, 32]",10.005317687988281,0.0,"[9.91945743560791, 9.839842796325684, 18.3089542388916, 9.856931686401367, 10.005317687988281]",0.05291005291005291
