model,epochs,batch_size,latent_dims,learning_rates,fc_layers_sizes,loss,accuracy,loss_history,hr_score
improved,100,32,16,0.01,"[512, 256, 128]",7.76754283905029,0,"[12.218377113342285, 10.880032539367676, 10.011697769165039, 9.121048927307129, 8.564955711364746, 8.207696914672852, 7.965765476226807, 7.849832534790039, 7.818753719329834, 7.769903659820557, 7.753969669342041, 7.772542953491211, 7.7566237449646, 7.767542839050293]",0.047619047619048
improved,100,32,16,0.01,"[256, 128, 64]",7.33976650238037,0.013157894834876,"[10.458603858947754, 9.817193031311035, 9.260740280151367, 8.795450210571289, 8.3961181640625, 8.083508491516113, 7.8486104011535645, 7.683882713317871, 7.544205665588379, 7.448387622833252, 7.431797981262207, 7.389021396636963, 7.319311618804932, 7.295816421508789, 7.306982040405273, 7.281879425048828, 7.267614364624023, 7.256745338439941, 7.262676239013672, 7.366354465484619, 7.339766502380371]",0.005291005291005
improved,100,32,16,0.01,"[128, 64, 32]",7.60802984237671,0.013157894834876,"[9.309892654418945, 8.989874839782715, 8.707446098327637, 8.457603454589844, 8.244339942932129, 8.070263862609863, 7.925797462463379, 7.8194355964660645, 7.668750762939453, 7.542510986328125, 7.451529026031494, 7.3834943771362305, 7.3322834968566895, 7.296039581298828, 7.272961139678955, 7.246496677398682, 7.225896835327148, 7.222992897033691, 7.2101731300354, 7.194576740264893, 7.177971363067627, 7.1825480461120605, 7.283466339111328, 7.608029842376709]",0.021164021164021
improved,100,32,16,0.1,"[512, 256, 128]",57.3111763000488,0,"[235.4927520751953, 90.82893371582031, 41.313087463378906, 32.10673522949219, 94.36138153076172, 44.99561309814453, 57.31117630004883]",0.074074074074074
improved,100,32,16,0.1,"[256, 128, 64]",15.3477573394775,0.013157894834876,"[59.07048034667969, 12.233377456665039, 12.85118579864502, 14.23693561553955, 15.347757339477539]",0.058201058201058
improved,100,32,16,0.1,"[128, 64, 32]",8.56918811798096,0,"[8.203961372375488, 8.055813789367676, 8.8801908493042, 8.717612266540527, 8.569188117980957]",0.031746031746032
improved,100,32,32,0.01,"[512, 256, 128]",8.29249954223633,0,"[13.011502265930176, 11.47716999053955, 10.287099838256836, 9.420829772949219, 8.731575965881348, 8.29077434539795, 8.018105506896973, 7.8609700202941895, 7.8076677322387695, 7.789058685302734, 7.826286792755127, 7.808071613311768, 7.780348777770996, 7.805046558380127, 7.7402729988098145, 7.754269123077393, 7.862794399261475, 7.682376384735107, 7.547118186950684, 7.485504150390625, 7.424940586090088, 7.390218734741211, 7.516778469085693, 8.254003524780273, 8.292499542236328]",0.026455026455027
improved,100,32,32,0.01,"[256, 128, 64]",8.39832496643066,0,"[10.997304916381836, 10.182821273803711, 9.506342887878418, 8.966041564941406, 8.528103828430176, 8.2007417678833, 7.923345565795898, 7.754177093505859, 7.594008445739746, 7.502930641174316, 7.4462456703186035, 7.4385809898376465, 7.4987406730651855, 7.4300031661987305, 7.399939060211182, 7.367013454437256, 7.361736297607422, 7.348265647888184, 7.3312506675720215, 7.369778156280518, 7.535975456237793, 7.3036932945251465, 7.258469581604004, 7.250998020172119, 7.324359893798828, 7.700719833374023, 8.398324966430664]",0.021164021164021
improved,100,32,32,0.01,"[128, 64, 32]",7.47480154037476,0,"[9.640018463134766, 9.236608505249023, 8.885575294494629, 8.576693534851074, 8.3047513961792, 8.060150146484375, 7.845273494720459, 7.70880126953125, 7.71616792678833, 7.618971347808838, 7.488391876220703, 7.415284633636475, 7.3633713722229, 7.338454246520996, 7.306122779846191, 7.265902042388916, 7.247593879699707, 7.230993747711182, 7.226010799407959, 7.219247341156006, 7.225411891937256, 7.262899398803711, 7.474801540374756]",0.037037037037037
improved,100,32,32,0.1,"[512, 256, 128]",55.7328071594238,0,"[208.6869659423828, 122.81774139404297, 38.61439895629883, 147.1297607421875, 47.7502555847168, 55.73280715942383]",0.047619047619048
improved,100,32,32,0.1,"[256, 128, 64]",18.7362098693848,0,"[22.19072914123535, 14.770646095275879, 15.717641830444336, 15.957362174987793, 18.736209869384766]",0.079365079365079
improved,100,32,32,0.1,"[128, 64, 32]",9.27009296417236,0.013157894834876,"[8.506394386291504, 8.401631355285645, 9.862133979797363, 9.01068115234375, 9.270092964172363]",0.052910052910053
improved,100,32,64,0.01,"[512, 256, 128]",7.87056350708008,0,"[13.967813491821289, 12.092113494873047, 10.485289573669434, 9.392311096191406, 8.64937686920166, 8.21349811553955, 7.941967487335205, 7.794927597045898, 7.822761058807373, 7.974508285522461, 7.870563507080078]",0.042328042328042
improved,100,32,64,0.01,"[256, 128, 64]",7.380295753479,0.013157894834876,"[11.567399978637695, 10.509203910827637, 9.644312858581543, 8.96088981628418, 8.43476390838623, 8.055889129638672, 7.77447509765625, 7.608619213104248, 7.474183082580566, 7.472423553466797, 7.444767951965332, 7.398087501525879, 7.377035140991211, 7.4033026695251465, 7.414117813110352, 7.380295753479004]",0.047619047619048
improved,100,32,64,0.01,"[128, 64, 32]",7.27790260314941,0.013157894834876,"[9.858759880065918, 9.335356712341309, 8.8953218460083, 8.526156425476074, 8.223970413208008, 7.973400115966797, 7.767716407775879, 7.59457540512085, 7.466644287109375, 7.4249749183654785, 7.489222526550293, 7.4802422523498535, 7.381047248840332, 7.3094916343688965, 7.269015789031982, 7.261763095855713, 7.251652717590332, 7.230454921722412, 7.220062255859375, 7.223178386688232, 7.229031085968018, 7.277902603149414]",0.026455026455027
